id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
4650,03N,small_airport,Utirik Airport,11.222,169.852005,4,OC,MH,MH-UTI,Utirik Island,yes,K03N,UTK,03N
301649,AGAF,small_airport,Afutara Aerodrome,-9.191388889,160.9486111,23,OC,SB,SB-ML,Bila,yes,AGAF,AFT,
35172,AGAT,small_airport,Uru Harbour Airport,-8.87333,161.011002,,OC,SB,SB-ML,Atoifi,yes,AGAT,ATD,
30634,AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,5,OC,SB,SB-ML,Auki,yes,AGGA,AKS,
302047,AGGB,small_airport,Bellona/Anua Airport,-11.30222222,159.7983333,60,OC,SB,SB-RB,Anua,yes,AGGB,BNY,
302291,AGGC,small_airport,Choiseul Bay Airport,-6.711944,156.396111,,OC,SB,SB-CH,,yes,AGGC,CHY,
30678,AGGE,small_airport,Ballalae Airport,-6.990745,155.886656,5,OC,SB,SB-WE,Ballalae,yes,AGGE,BAS,
35167,AGGF,small_airport,Fera/Maringe Airport,-8.1075,159.576996,,OC,SB,SB-IS,Fera Island,yes,AGGF,FRE,
3,AGGH,large_airport,Honiara International Airport,-9.428,160.054993,28,OC,SB,SB-GU,Honiara,yes,AGGH,HIR,
31885,AGGI,small_airport,Babanakira Airport,-9.74750042,159.8390045,,OC,SB,SB-GU,Mbambanakira,yes,AGGI,MBU,
31686,AGGK,small_airport,Ngorangora Airport,-10.44970036,161.897995,54,OC,SB,SB-MK,Kirakira,yes,AGGK,IRA,
32275,AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972,165.7949982,18,OC,SB,SB-TE,Santa Cruz/Graciosa Bay/Luova,yes,AGGL,SCZ,
4,AGGM,medium_airport,Munda Airport,-8.32797,157.263,10,OC,SB,SB-WE,Munda,yes,AGGM,MUA,
31563,AGGN,small_airport,Nusatupe Airport,-8.097780228,156.8639984,13,OC,SB,SB-WE,Gizo,yes,AGGN,GZO,
31932,AGGO,small_airport,Mono Airport,-7.416940212,155.5650024,,OC,SB,SB-WE,Stirling Island,yes,AGGO,MNY,
35171,AGGR,small_airport,Rennell/Tingoa Airport,-11.53390026,160.0630035,,OC,SB,SB-RB,Rennell Island,yes,AGGR,RNL,
308425,AGGT,small_airport,Santa Ana Airport,-10.847994,162.454108,3,OC,SB,SB-MK,Santa Ana Island,yes,AGGT,NNB,
32238,AGGU,small_airport,Marau Airport,-9.86166954,160.8249969,,OC,SB,SB-GU,Marau,yes,AGGU,RUS,
32564,AGGV,small_airport,Suavanao Airport,-7.585559845,158.7310028,,OC,SB,SB-IS,Suavanao,yes,AGGV,VAO,
302292,AGGY,small_airport,Yandina Airport,-9.092816,159.21841,60,OC,SB,SB-CE,Yandina,yes,AGGY,XYA,
35169,AGKG,small_airport,Kaghau Airport,-7.3305,157.585,30,OC,SB,SB-CH,Kagau Island,yes,AGKG,KGE,
508090,AGOB,small_airport,Manaoba Airport,-8.325008,160.80051,14,OC,SB,SB-ML,Manaoba,yes,AGOB,MHM,
